kode,nama perusahaan,sektor
ADMG,Polychem Indonesia Tbk,Basic Materials
AGII,Aneka Gas Industri Tbk.,Basic Materials
ANTM,Aneka Tambang Tbk.,Basic Materials
APLI,Asiaplast Industries Tbk.,Basic Materials
ARCI,Archi Indonesia Tbk.,Basic Materials
AVIA,Avia Avian Tbk.,Basic Materials
BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials
BRPT,Barito Pacific Tbk.,Basic Materials
CMNT,Cemindo Gemilang Tbk.,Basic Materials
CTBN,Citra Tubindo Tbk.,Basic Materials
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials
EKAD,Ekadharma International Tbk.,Basic Materials
ESSA,Surya Esa Perkasa Tbk.,Basic Materials
FASW,Fajar Surya Wisesa Tbk.,Basic Materials
HKMU,HK Metals Utama Tbk.,Basic Materials
IFII,Indonesia Fibreboard Industry,Basic Materials
IGAR,Champion Pacific Indonesia Tbk,Basic Materials
INCI,Intanwijaya Internasional Tbk,Basic Materials
INCO,Vale Indonesia Tbk.,Basic Materials
INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials
INTP,Indocement Tunggal Prakarsa Tb,Basic Materials
IPOL,Indopoly Swakarsa Industry Tbk,Basic Materials
ISSP,Steel Pipe Industry of Indones,Basic Materials
KRAS,Krakatau Steel (Persero) Tbk.,Basic Materials
LTLS,Lautan Luas Tbk.,Basic Materials
MDKI,Emdeki Utama Tbk.,Basic Materials
NIKL,Pelat Timah Nusantara Tbk.,Basic Materials
NPGF,Nusa Palapa Gemilang Tbk.,Basic Materials
PBID,Panca Budi Idaman Tbk.,Basic Materials
PURE,Trinitan Metals and Minerals T,Basic Materials
SAMF,Saraswanti Anugerah Makmur Tbk,Basic Materials
SMBR,Semen Baturaja (Persero) Tbk.,Basic Materials
SMCB,Solusi Bangun Indonesia Tbk.,Basic Materials
SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials
SMKL,Satyamitra Kemas Lestari Tbk.,Basic Materials
SPMA,Suparma Tbk.,Basic Materials
SRSN,Indo Acidatama Tbk,Basic Materials
SULI,SLJ Global Tbk.,Basic Materials
TDPM,Tridomain Performance Material,Basic Materials
TINS,Timah Tbk.,Basic Materials
TIRT,Tirta Mahakam Resources Tbk,Basic Materials
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials
TRST,Trias Sentosa Tbk.,Basic Materials
UNIC,Unggul Indah Cahaya Tbk.,Basic Materials
WSBP,Waskita Beton Precast Tbk.,Basic Materials
WTON,Wijaya Karya Beton Tbk.,Basic Materials
AKPI,Argha Karya Prima Industry Tbk,Basic Materials
ALDO,Alkindo Naratama Tbk.,Basic Materials
ALKA,Alakasa Industrindo Tbk,Basic Materials
ALMI,Alumindo Light Metal Industry,Basic Materials
AYLS,Agro Yasa Lestari Tbk.,Basic Materials
BAJA,Saranacentral Bajatama Tbk.,Basic Materials
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials
BRMS,Bumi Resources Minerals Tbk.,Basic Materials
BRNA,Berlina Tbk.,Basic Materials
BTON,Betonjaya Manunggal Tbk.,Basic Materials
CITA,Cita Mineral Investindo Tbk.,Basic Materials
CLPI,Colorpak Indonesia Tbk.,Basic Materials
DKFT,Central Omega Resources Tbk.,Basic Materials
EPAC,Megalestari Epack Sentosaraya,Basic Materials
ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials
FPNI,Lotte Chemical Titan Tbk.,Basic Materials
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials
GGRP,Gunung Raja Paksi Tbk.,Basic Materials
IFSH,Ifishdeco Tbk.,Basic Materials
INAI,Indal Aluminium Industry Tbk.,Basic Materials
INCF,Indo Komoditi Korpora Tbk.,Basic Materials
INRU,Toba Pulp Lestari Tbk.,Basic Materials
INTD,Inter Delta Tbk,Basic Materials
JKSW,Jakarta Kyoei Steel Works Tbk.,Basic Materials
KAYU,Darmi Bersaudara Tbk.,Basic Materials
KBRI,Kertas Basuki Rachmat Indonesi,Basic Materials
KDSI,Kedawung Setia Industrial Tbk.,Basic Materials
KMTR,Kirana Megatara Tbk.,Basic Materials
LMSH,Lionmesh Prima Tbk.,Basic Materials
MDKA,Merdeka Copper Gold Tbk.,Basic Materials
MOLI,Madusari Murni Indah Tbk.,Basic Materials
NICL,PAM Mineral Tbk.,Basic Materials
OBMD,OBM Drilchem Tbk.,Basic Materials
OKAS,Ancora Indonesia Resources Tbk,Basic Materials
OPMS,Optima Prima Metal Sinergi Tbk,Basic Materials
PICO,Pelangi Indah Canindo Tbk,Basic Materials
PNGO,Pinago Utama Tbk.,Basic Materials
PSAB,J Resources Asia Pasifik Tbk.,Basic Materials
SBMA,Surya Biru Murni Acetylene Tbk,Basic Materials
SIMA,Siwani Makmur Tbk,Basic Materials
SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials
SWAT,Sriwahana Adityakarta Tbk.,Basic Materials
TALF,Tunas Alfin Tbk.,Basic Materials
TBMS,Tembaga Mulia Semanan Tbk.,Basic Materials
TPIA,Chandra Asri Petrochemical Tbk,Basic Materials
YPAS,Yanaprima Hastapersada Tbk,Basic Materials
ZINC,Kapuas Prima Coal Tbk.,Basic Materials
IDEA,Idea Indonesia Akademi Tbk.,Consumer Cyclicals
LFLO,Imago Mulia Persada Tbk.,Consumer Cyclicals
LUCY,Lima Dua Lima Tiga Tbk.,Consumer Cyclicals
MGLV,Panca Anugrah Wisesa Tbk.,Consumer Cyclicals
PLAN,Planet Properindo Jaya Tbk.,Consumer Cyclicals
SOFA,Boston Furniture Industries Tb,Consumer Cyclicals
ACES,Ace Hardware Indonesia Tbk.,Consumer Cyclicals
AUTO,Astra Otoparts Tbk.,Consumer Cyclicals
BATA,Sepatu Bata Tbk.,Consumer Cyclicals
BRAM,Indo Kordsa Tbk.,Consumer Cyclicals
CARS,Industri dan Perdagangan Bintr,Consumer Cyclicals
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals
DEPO,Caturkarda Depo Bangunan Tbk.,Consumer Cyclicals
DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals
DUCK,Jaya Bersama Indo Tbk.,Consumer Cyclicals
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals
ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals
FILM,MD Pictures Tbk.,Consumer Cyclicals
GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals
GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals
HDTX,Panasia Indo Resources Tbk.,Consumer Cyclicals
HOTL,Saraswati Griya Lestari Tbk.,Consumer Cyclicals
HRTA,Hartadinata Abadi Tbk.,Consumer Cyclicals
IKAI,Intikeramik Alamasri Industri,Consumer Cyclicals
IMAS,Indomobil Sukses Internasional,Consumer Cyclicals
INDR,Indo-Rama Synthetics Tbk.,Consumer Cyclicals
IPTV,MNC Vision Networks Tbk.,Consumer Cyclicals
KICI,Kedaung Indah Can Tbk,Consumer Cyclicals
LPPF,Matahari Department Store Tbk.,Consumer Cyclicals
MAMI,Mas Murni Indonesia Tbk,Consumer Cyclicals
MAPI,Mitra Adiperkasa Tbk.,Consumer Cyclicals
MASA,Multistrada Arah Sarana Tbk.,Consumer Cyclicals
MDIA,Intermedia Capital Tbk.,Consumer Cyclicals
MNCN,Media Nusantara Citra Tbk.,Consumer Cyclicals
MPMX,Mitra Pinasthika Mustika Tbk.,Consumer Cyclicals
MSIN,MNC Digital Entertainment Tbk.,Consumer Cyclicals
MSKY,MNC Sky Vision Tbk.,Consumer Cyclicals
MYTX,Asia Pacific Investama Tbk.,Consumer Cyclicals
PANR,Panorama Sentrawisata Tbk.,Consumer Cyclicals
PBRX,Pan Brothers Tbk.,Consumer Cyclicals
PJAA,Pembangunan Jaya Ancol Tbk.,Consumer Cyclicals
PRAS,Prima Alloy Steel Universal Tb,Consumer Cyclicals
PZZA,Sarimelati Kencana Tbk.,Consumer Cyclicals
RALS,Ramayana Lestari Sentosa Tbk.,Consumer Cyclicals
RICY,Ricky Putra Globalindo Tbk,Consumer Cyclicals
SCMA,Surya Citra Media Tbk.,Consumer Cyclicals
SMSM,Selamat Sempurna Tbk.,Consumer Cyclicals
